"","Yield","Easting","PassNo","Pair","Product","Northing","Pass","Predicted"
"109",136.364452629036,218,1,1,"E",0.783072959421157,"1",130.372274810942
"308",128.52026144254,218,2,1,"E",6.8630408585656,"2",133.000270392332
"507",125.210427565846,218,3,2,"B",12.9852964518518,"3",146.836419116986
"706",151.767305368832,218,4,2,"B",19.0984345227862,"4",149.478752120275
"905",162.123169121667,218,5,3,"E",25.1816935720809,"5",140.918295485016
"1104",154.090492390079,218,6,3,"E",31.3085784454595,"6",143.566570384162
"1303",165.476572233544,218,7,4,"B",37.320366207733,"7",157.354970670565
"1502",179.239708034618,218,8,4,"B",43.4594654812367,"8",160.008525102446
"1701",130.658149144432,218,9,5,"E",49.4976038696288,"9",151.428565585026
"1900",131.577731075836,218,10,5,"E",55.6446310137961,"10",154.08554674702
"2099",156.980801771549,218,11,6,"B",61.6350571132918,"11",167.86471370254
"2298",174.060926023936,218,12,6,"B",67.7339494941491,"12",170.500889171583
"2497",164.568421208454,218,13,7,"E",73.7622992709295,"13",161.916698640375
"2696",159.272001467815,218,14,7,"E",79.9142402925501,"14",164.575803768895
"2895",181.324235095511,218,15,8,"B",86.0080040887833,"15",178.399637244861
"3094",183.699766089939,218,16,8,"B",92.093686219178,"16",181.030102736422
"3293",172.933652543725,218,17,9,"E",98.1548134744314,"17",172.460079889987
"3492",185.653566164098,218,18,9,"E",104.314751055382,"18",175.122641438501
"3691",188.337187294612,218,19,10,"B",110.340220433542,"19",188.916955444645
"3890",185.761710562078,218,20,10,"B",116.426924809464,"20",191.547862789977
"4089",176.043970130942,218,21,11,"E",122.447750322627,"21",182.960419983128
"4288",194.1952637405,218,22,11,"E",128.540554585316,"22",185.593963933741
"4487",195.386807865911,218,23,12,"B",134.522876331975,"23",199.369627876792
"4686",206.094473258346,218,24,12,"B",140.681138361472,"24",202.031465187633
